show_id,type,title,director,cast,country,date_added,release_year,rating,duration,genre
s1000,TV Show,Edge white,Shane Sampson,"Jonathan Fernandez, Juan Harvey, Dr. Sarah Davis, Kelsey Fleming MD, Stephen Watkins",Australia,2024-04-29,2017,TV-G,4 Season(s),Documentary
s1001,TV Show,No task cover oil,Ashley Cooper,"Kevin Rosario, Kenneth Shaw",Japan,2024-12-23,1984,PG,7 Season(s),Action
s1002,Movie,Shoulder war,Unknown,James Davis,UK,2024-11-10,2018,TV-PG,136 min,Drama
s1003,Movie,Value against apply,Unknown,Natalie Hester,UK,2022-01-02,1967,TV-Y7,101 min,Documentary
s1004,TV Show,Culture summer,Unknown,"Jonathan Tucker, Jeffrey Gilmore, Victor Turner, Charles Branch, Craig Wade",France,2024-08-04,1976,R,4 Season(s),Drama
s1005,Movie,Involve,Jeremy Velazquez,"Daniel Neal, Christie Walter, Carol Smith MD, George Davis, Thomas Campbell",France,2023-07-30,1973,TV-MA,80 min,Romance
s1006,Movie,Guess at decision more,Cynthia Smith,"Wendy Hill, Austin Wallace, Anthony Key",Australia,2023-11-16,1975,TV-G,61 min,Thriller
s1007,TV Show,Evidence management ability,Jessica Roberts,Patrick Lee,UK,2022-04-30,1969,PG-13,1 Season(s),Documentary
s1008,Movie,Enjoy receive standard,Unknown,"Kimberly Young, Angela Grant, Eric Horton, Julie Carpenter",UK,2025-02-04,1998,TV-14,122 min,Action
s1009,TV Show,Available bill there,Joshua White,"Donna Lamb, Heidi Lopez, Amy Taylor, Amanda Bowman, Henry Townsend",UK,2021-07-06,1962,TV-PG,9 Season(s),Comedy
s1010,TV Show,Kid might spring,John King,"Heather Thomas, Pamela Hill",Australia,2024-01-11,2024,TV-Y7,8 Season(s),Animation
s1011,TV Show,Candidate,Jacqueline Miller,"Eric Johnson, Jeremy Juarez",Canada,2022-03-24,1996,R,9 Season(s),Animation
s1012,TV Show,Suddenly,Unknown,"Dana Dawson, Mary Andersen, Charles Owen, Jamie Grant",UK,2024-04-26,2013,G,2 Season(s),Fantasy
s1013,TV Show,Least only,Francisco Garza,"Andrew Johnson, Greg Carrillo, Kelsey Mcclure, Andrew Meyer, Kristin Parker",Japan,2022-05-01,1965,G,4 Season(s),Thriller
s1014,Movie,Use let environment,Marilyn Davis,"Hannah Moore, Kyle Weber, Cynthia Green",France,2023-07-08,1972,TV-Y,40 min,Fantasy
s1015,TV Show,When industry station,Denise Wood,Scott Steele,India,2022-10-29,2013,TV-14,9 Season(s),Fantasy
s1016,TV Show,Health thank full before,Unknown,"Nicholas Johnson, Dale Gentry II, Laura Reynolds, Denise Thompson",South Korea,2023-12-12,1998,TV-Y7,6 Season(s),Horror
s1017,Movie,Gas return process,Unknown,"Charles Rowe, William Brown, Daniel Lewis, Anna Carpenter, Taylor Howard",South Korea,2023-09-25,1991,TV-MA,48 min,Animation
s1018,TV Show,Short current trouble,Michael Johnson,"Mr. Joseph Yang, Andrew Johnson, Michele Lee, Leah Lewis, Hannah Williams",India,2023-08-25,2012,TV-14,6 Season(s),Fantasy
s1019,Movie,Assume development,Kim Ferguson,Larry Baker,Germany,2023-01-13,1976,TV-Y7,138 min,Fantasy
s1020,Movie,Audience clear,Karen Schultz,"Jonathan Cooper, Melissa Morris, Ronald Butler, Dr. Adam Yang, Joshua Charles",USA,2020-12-28,1988,PG-13,43 min,Comedy
s1021,Movie,Soldier include,Unknown,"Christie Lopez, Cody Dean",Japan,2022-07-01,2016,G,6 min,Sci-Fi
s1022,Movie,Up support,Sherry Andrade,"Kelly Ross, Kristina Taylor, Mark Taylor, Lisa Wilcox",South Korea,2022-08-05,2001,TV-G,151 min,Animation
s1023,TV Show,Method report,Shawna Mathews,"Rhonda Morrison, Patrick Allen, Julia Cordova, Laura Morrison",India,2020-10-29,1955,TV-Y7,4 Season(s),Horror
s1024,TV Show,Significant character,Jennifer Forbes,"Christopher Bullock, Timothy Holmes",Germany,2024-04-11,2009,TV-Y7,2 Season(s),Horror
s1025,TV Show,Political continue,Greg Moreno,"April Alvarez, Michael Johnson, Tonya Dalton, Cody Lyons",India,2023-10-18,1971,TV-G,7 Season(s),Drama
s1026,TV Show,Mouth student sister,Elizabeth Heath,"Maria Gonzalez, Rebecca Campbell, Spencer Ellis, Maria Huerta, Mitchell Brown",India,2022-03-15,1957,R,10 Season(s),Animation
s1027,TV Show,Million point,Unknown,"Andrea Nicholson, Joseph Cruz, Michael Acosta, Melinda Hamilton, Kathy Jordan",Australia,2022-08-30,2017,G,7 Season(s),Thriller
s1028,TV Show,Seat report continue appear,Abigail Ingram,"David Dominguez, Mary Rivera, Lisa Holland, Maria Hicks, Jennifer Christian",USA,2024-07-17,2009,TV-MA,8 Season(s),Documentary
s1029,Movie,Exist attorney attention,Jonathan Ortiz,"David Walker, Denise Jenkins, Lisa Gibson, Frank Richards",France,2021-04-02,1994,TV-PG,163 min,Animation
s1030,TV Show,Record we,Unknown,"Kathy Smith, Joseph Norris",Brazil,2023-08-26,2017,PG-13,3 Season(s),Fantasy
s1031,TV Show,Job series other,Mary Keller,Samantha Cole,France,2021-04-08,1954,TV-G,3 Season(s),Fantasy
s1032,Movie,Answer top,Randy Washington,"Casey Mora, Pam Washington, Sara Morales, Sabrina Jones",South Korea,2024-12-31,1999,TV-Y,121 min,Documentary
s1033,Movie,Peace great,Unknown,"Jeffrey Duncan, Kenneth Barrera, Vickie Clements, Cory Ortiz, Jennifer Santana",Germany,2024-08-06,2006,TV-MA,146 min,Thriller
s1034,TV Show,Whole democratic much,Jeffrey Perez,"Hannah Howard, Jeffrey Porter, Jeffrey Cruz",India,2024-07-01,1967,TV-14,2 Season(s),Thriller
s1035,Movie,Indicate game idea,Jason Davis,Veronica Camacho,Brazil,2021-02-11,1975,TV-Y7,58 min,Romance
s1036,Movie,Hundred peace,Unknown,Amber Bass,Australia,2023-10-07,1996,R,135 min,Horror
s1037,Movie,Something color against,Unknown,"Carl Hubbard, Mark Love, Kenneth Rush, Ms. Diane Norris, Russell Brown",India,2021-12-22,2000,TV-G,14 min,Comedy
s1038,TV Show,Help although save interest,Unknown,"Mark Alexander, Ashley Turner, Nathan Knight, Diane Carr, Gloria White",Germany,2022-10-30,1997,R,5 Season(s),Action
s1039,TV Show,Notice arm,Richard Grant,"Keith Fernandez, Laurie Rivera, Mrs. Cassandra Flores MD, Ashley Lee",Australia,2020-05-25,1981,TV-MA,8 Season(s),Drama
s1040,Movie,Could her,Randall Mahoney,"Misty Williams, Joshua Silva, Steve Martin",UK,2025-01-08,1997,TV-MA,12 min,Sci-Fi
s1041,TV Show,Thank word,Sara Ross,Jasmine Mcdonald,UK,2023-05-06,1964,TV-14,3 Season(s),Drama
s1042,Movie,Today significant,Stephanie Jimenez,Michelle Kent,Australia,2021-06-01,2006,TV-Y,165 min,Animation
s1043,Movie,Accept turn town,Unknown,Mary Smith,South Korea,2021-10-21,1997,TV-Y7,150 min,Action
s1044,Movie,Kind around ever,Unknown,"Robin Ford, Ray Williams, Taylor Morales, Scott Davis",Australia,2023-06-17,1953,R,91 min,Fantasy
s1045,Movie,Indicate people,Unknown,"Jessica Welch, Mr. William Clark, Michael Lamb, Logan Murphy, Linda Hicks",Australia,2024-07-22,2017,TV-Y,37 min,Drama
s1046,Movie,Join surface protect,Melissa Foster MD,"Michael Weber, Candace Wheeler",Canada,2021-06-28,2015,TV-Y7,116 min,Comedy
s1047,Movie,Turn ok year,Michael Buck,"Reginald Williams, Jodi Browning, Natasha Manning, Monica Torres",South Korea,2022-05-11,1968,TV-G,64 min,Romance
s1048,Movie,Certainly prevent,Joseph Hill,"Corey Jones, Veronica Cunningham, Michael Torres",Brazil,2020-10-12,1985,TV-14,100 min,Animation
s1049,Movie,East case understand with,Anthony Long,"Kathleen Barnes, Latasha Bender",Japan,2023-09-07,2004,R,17 min,Drama
s1050,Movie,Professional white on,Cassandra Ferguson,"Kelsey Gordon, Christopher Moore, David Meza, Mary Villanueva, Lauren Cook",India,2021-03-16,2007,TV-G,44 min,Drama
s1051,TV Show,To town,Jodi Watkins,"Jessica Conley, Jason Newman",India,2021-06-30,1962,G,2 Season(s),Animation
s1052,Movie,Ask tough,Unknown,"Alicia Stanley, Christopher Preston, Rebecca Cruz",Germany,2023-07-03,2021,TV-G,43 min,Fantasy
s1053,Movie,Special send recognize down,Debbie Soto,Amanda Anderson,France,2023-10-05,1981,TV-MA,89 min,Sci-Fi
s1054,Movie,Test ago,Unknown,"Vanessa Kelly, David Gonzalez, Mark Villarreal, Michael Lee",Japan,2022-05-22,1993,TV-MA,17 min,Animation
s1055,Movie,Seek truth wrong,Unknown,"Erika Cook, Taylor Vazquez, Carla Howe, Eric Yu, Antonio Chavez",UK,2024-02-12,2009,PG,3 min,Action
s1056,Movie,Laugh term data,Jessica French,"Jackson Patrick, Tammy Foster",India,2021-12-13,1978,TV-14,109 min,Action
s1057,Movie,Although exist sing,Alicia Mckenzie,"Lydia Baker, Carlos Reyes, Katherine Maxwell, Seth Walker, Joe Smith",Australia,2022-05-07,1991,TV-Y,68 min,Animation
s1058,TV Show,Month east simply girl,Danielle Cain,"Juan Burns, Jeffrey Patterson",Brazil,2025-01-17,1953,TV-Y7,7 Season(s),Fantasy
s1059,Movie,Unit before worry project,Wayne Parks,Daryl Parks,South Korea,2024-04-14,1996,TV-G,75 min,Action
s1060,TV Show,Nature east,Nicole Coleman,Alan Pitts,India,2021-07-13,2016,PG-13,1 Season(s),Action
s1061,Movie,Law sort,Unknown,Michael Hicks,Germany,2022-03-12,1991,PG,102 min,Documentary
s1062,Movie,Evening us politics,Unknown,"Carol King, Jessica Guzman",Brazil,2024-11-20,1955,TV-14,98 min,Sci-Fi
